Active Weekly Options Summary as of 08/20/2014, , , , , 

      ,Weekly Options Summary for 08/29/2014 Expiration,          ,,      ,Weekly Options Summary for 08/22/2014 Expiration,          
SYMBOL,OPTION NAME,EFFECTIVE DATE,,SYMBOL,OPTION NAME,EFFECTIVE DATE
MNST  ,MONSTER BEVERAGE CORPORATION                      ,04/09/2014,,MNST  ,MONSTER BEVERAGE CORPORATION                      ,04/09/2014
MO    ,ALTRIA GROUP  INC.                                ,01/07/2014,,MO    ,ALTRIA GROUP  INC.                                ,01/07/2014
MON   ,MONSANTO COMPANY (NEW)                            ,02/25/2013,,MON   ,MONSANTO COMPANY (NEW)                            ,02/25/2013
MOS   ,THE MOSAIC COMPANY (HOLDING COMPANY)              ,08/04/2011,,MOS   ,THE MOSAIC COMPANY (HOLDING COMPANY)              ,08/04/2011
MPC   ,MARATHON PETROLEUM CORPORATION                    ,12/04/2013,,MPC   ,MARATHON PETROLEUM CORPORATION                    ,12/04/2013
MPEL  ,MELCO CROWN ENTERTAINMENT LTD                     ,04/29/2013,,MPEL  ,MELCO CROWN ENTERTAINMENT LTD                     ,04/29/2013
MRK   ,MERCK & CO                                        ,02/13/2013,,MRK   ,MERCK & CO                                        ,02/13/2013
MRO   ,MARATHON OIL CORP                                 ,12/04/2013,,MRO   ,MARATHON OIL CORP                                 ,12/04/2013
MRVL  ,MARVELL TECHNOLOGY GROUP                          ,09/29/2011,,MRVL  ,MARVELL TECHNOLOGY GROUP                          ,09/29/2011
MS    ,MORGAN STANLEY                                    ,01/18/2012,,MS    ,MORGAN STANLEY                                    ,01/18/2012
MSFT  ,MICROSOFT CORPORATION                             ,08/05/2010,,MSFT  ,MICROSOFT CORPORATION                             ,08/05/2010
MTG   ,MGIC INVESTMENT CORPORATION                       ,09/04/2013,,MTG   ,MGIC INVESTMENT CORPORATION                       ,09/04/2013
MU    ,MICRON TECH                                       ,09/22/2011,,MU    ,MICRON TECH                                       ,09/22/2011
MYGN  ,MYRIAD GENETICS INC                               ,01/29/2014,,MYGN  ,MYRIAD GENETICS INC                               ,01/29/2014
NAV   ,NAVISTAR INTERNATIONAL CORP.                      ,09/04/2012,,NAV   ,NAVISTAR INTERNATIONAL CORP.                      ,09/04/2012
NBG   ,NATIONAL BANK OF GREECE S.A.                      ,01/07/2014,,NBG   ,NATIONAL BANK OF GREECE S.A.                      ,01/07/2014
NDX   ,NASDAQ 100 INDEX EURO/OPEN                        ,11/18/2010,,NDX   ,NASDAQ 100 INDEX EURO/OPEN                        ,11/18/2010
NE    ,NOBLE CORPORATION PLC                             ,09/04/2013,,NE    ,NOBLE CORPORATION PLC                             ,09/04/2013
NEM   ,NEWMONT MINING CO                                 ,09/29/2011,,NEM   ,NEWMONT MINING CO                                 ,09/29/2011
NFLX  ,NETFLIX INC                                       ,08/31/2010,,NFLX  ,NETFLIX INC                                       ,08/31/2010
NKE   ,NIKE INC. CLASS B                                 ,10/06/2011,,NKE   ,NIKE INC. CLASS B                                 ,10/06/2011
NLY   ,ANNALY CAPITAL MANAGEMENT INC                     ,09/04/2013,,NLY   ,ANNALY CAPITAL MANAGEMENT INC                     ,09/04/2013
NOK   ,NOKIA CORP                                        ,02/14/2012,,NOK   ,NOKIA CORP                                        ,02/14/2012
NOV   ,NATIONAL OILWELL VARCO  INC.                      ,12/18/2013,,NOV   ,NATIONAL OILWELL VARCO  INC.                      ,12/18/2013
NQ    ,NQ MOBILE INC.                                    ,05/20/2014,,NQ    ,NQ MOBILE INC.                                    ,05/20/2014
NSC   ,NORFOLK SOUTHERN CORP                             ,06/25/2014,,NSC   ,NORFOLK SOUTHERN CORP                             ,06/25/2014
NTAP  ,NETAPP INC                                        ,05/01/2012,,NTAP  ,NETAPP INC                                        ,05/01/2012
NUE   ,NUCOR CORPORATION                                 ,12/11/2013,,NUE   ,NUCOR CORPORATION                                 ,12/11/2013
NUGT  ,DIREXION DAILY GOLD MINERS BULL 3X SHARES         ,09/04/2013,,NUGT  ,DIREXION DAILY GOLD MINERS BULL 3X SHARES         ,09/04/2013
NUS   ,NU SKIN ENTERPRISES  INC                          ,01/22/2014,,NUS   ,NU SKIN ENTERPRISES  INC                          ,01/22/2014
NVDA  ,NVIDIA CORP.                                      ,03/03/2011,,NVDA  ,NVIDIA CORP.                                      ,03/03/2011
OIH   ,MARKET VECTORS OIL SERVICES ETF                   ,12/04/2013,,OIH   ,MARKET VECTORS OIL SERVICES ETF                   ,12/04/2013
ORCL  ,ORACLE SYSTEMS INC.                               ,07/14/2011,,ORCL  ,ORACLE SYSTEMS INC.                               ,07/14/2011
OUTR  ,OUTERWALL INC.                                    ,07/01/2014,,OUTR  ,OUTERWALL INC.                                    ,07/01/2014
OXY   ,OCCIDENTAL PETROLEUM                              ,12/13/2011,,OXY   ,OCCIDENTAL PETROLEUM                              ,12/13/2011
P     ,PANDORA MEDIA  INC.                               ,09/04/2013,,P     ,PANDORA MEDIA  INC.                               ,09/04/2013
PANW  ,PALO ALTO NETWORKS INC                            ,02/03/2014,,PANW  ,PALO ALTO NETWORKS INC                            ,02/03/2014
PBR   ,PETROLEO BRASILEIRO SA                            ,01/25/2012,,PBR   ,PETROLEO BRASILEIRO SA                            ,01/25/2012
PBYI  ,PUMA BIOTECHNOLOGY  INC.                          ,07/23/2014,,PBYI  ,PUMA BIOTECHNOLOGY  INC.                          ,07/23/2014
PCLN  ,THE PRICELINE GROUP INC.                          ,10/28/2010,,PCLN  ,THE PRICELINE GROUP INC.                          ,10/28/2010
PCYC  ,PHARMACYCLICS  INC.                               ,12/11/2013,,PCYC  ,PHARMACYCLICS  INC.                               ,12/11/2013
PEP   ,PEPSICO                                           ,06/25/2014,,PEP   ,PEPSICO                                           ,06/25/2014
PFE   ,PFIZER                                            ,12/14/2011,,PFE   ,PFIZER                                            ,12/14/2011
PG    ,PROCTER & GAMBLE                                  ,01/30/2012,,PG    ,PROCTER & GAMBLE                                  ,01/30/2012
PHM   ,PULTE GROUP  INC.                                 ,09/04/2013,,PHM   ,PULTE GROUP  INC.                                 ,09/04/2013
PLUG  ,PLUG POWER INC                                    ,03/12/2014,,PLUG  ,PLUG POWER INC                                    ,03/12/2014
PM    ,PHILIP MORRIS INTERNATIONAL  INC.                 ,02/13/2013,,PM    ,PHILIP MORRIS INTERNATIONAL  INC.                 ,02/13/2013
POT   ,POTASH CORP                                       ,12/02/2010,,POT   ,POTASH CORP                                       ,12/02/2010
PSX   ,PHILLIPS 66                                       ,04/16/2013,,PSX   ,PHILLIPS 66                                       ,04/16/2013
PXD   ,PIONEER NATURAL RESOURCES COS                     ,04/28/2014,,PXD   ,PIONEER NATURAL RESOURCES COS                     ,04/28/2014
QCOM  ,QUALCOMM INC.                                     ,08/04/2011,,QCOM  ,QUALCOMM INC.                                     ,08/04/2011
QCOR  ,QUESTCOR PHARMACEUTICALS CORPORATION INC          ,07/25/2012,,QCOR  ,QUESTCOR PHARMACEUTICALS CORPORATION INC          ,07/25/2012
QIHU  ,QIHOO 360 TECHNOLOGY CO LTD                       ,07/11/2013,,QIHU  ,QIHOO 360 TECHNOLOGY CO LTD                       ,07/11/2013
QLIK  ,QLIK TECHNOLOGIES  INC.                           ,12/04/2013,,QLIK  ,QLIK TECHNOLOGIES  INC.                           ,12/04/2013
QQQ   ,POWERSHARES QQQ TRUST                             ,06/18/2010,,QQQ   ,POWERSHARES QQQ TRUST                             ,06/18/2010
RAD   ,RITE AID CORPORATION                              ,11/25/2013,,RAD   ,RITE AID CORPORATION                              ,11/25/2013
RAX   ,RACKSPACE HOSTING  INC.                           ,03/10/2014,,RAX   ,RACKSPACE HOSTING  INC.                           ,03/10/2014
REGN  ,REGENERON PHARMACEUTICALS                         ,09/04/2013,,REGN  ,REGENERON PHARMACEUTICALS                         ,09/04/2013
RIG   ,TRANSOCEAN LTD                                    ,07/02/2014,,RIG   ,TRANSOCEAN LTD                                    ,07/02/2014
RSX   ,MARKET VECTORS RUSSIA ETF TRUST                   ,04/28/2014,,RSX   ,MARKET VECTORS RUSSIA ETF TRUST                   ,04/28/2014
RUT   ,RUSSELL 2000 OPEN/EURO INDEX                      ,03/03/2011,,RUT   ,RUSSELL 2000 OPEN/EURO INDEX                      ,03/03/2011
S     ,SPRINT CORPORATION                                ,07/22/2013,,S     ,SPRINT CORPORATION                                ,07/22/2013
SBUX  ,STARBUCKS CORP                                    ,04/16/2012,,SBUX  ,STARBUCKS CORP                                    ,04/16/2012
SCO   ,PROSHARES ULTRASHORT BLOOMBERG CRUDE OIL          ,12/11/2013,,SCO   ,PROSHARES ULTRASHORT BLOOMBERG CRUDE OIL          ,12/11/2013
SCTY  ,SOLARCITY CORPORATION                             ,07/15/2013,,SCTY  ,SOLARCITY CORPORATION                             ,07/15/2013
SDRL  ,SEADRILL LTD.                                     ,03/17/2014,,SDRL  ,SEADRILL LTD.                                     ,03/17/2014
SDS   ,PROSHARES ULTRASHORT S&P 500                      ,07/14/2011,,SDS   ,PROSHARES ULTRASHORT S&P 500                      ,07/14/2011
SFUN  ,SOUFUN HOLDINGS LTD                               ,07/02/2014,,SFUN  ,SOUFUN HOLDINGS LTD                               ,07/02/2014
SHLD  ,SEARS HOLDING CORPORATION                         ,07/02/2014,,SHLD  ,SEARS HOLDING CORPORATION                         ,07/02/2014
SINA  ,SINA CORPORATION                                  ,09/29/2011,,SINA  ,SINA CORPORATION                                  ,09/29/2011
SIRI  ,SIRIUS XM HOLDINGS INC.                           ,09/04/2013,,SIRI  ,SIRIUS XM HOLDINGS INC.                           ,09/04/2013
SLB   ,SCHLUMBERGER LTD                                  ,08/04/2011,,SLB   ,SCHLUMBERGER LTD                                  ,08/04/2011
SLV   ,ISHARES SILVER TRUST                              ,10/28/2010,,SLV   ,ISHARES SILVER TRUST                              ,10/28/2010
SLW   ,SILIVER WHEATON CORP                              ,04/21/2011,,SLW   ,SILIVER WHEATON CORP                              ,04/21/2011
SNDK  ,SANDISK CORP.                                     ,09/22/2011,,SNDK  ,SANDISK CORP.                                     ,09/22/2011
SNE   ,SONY CORPORATION                                  ,09/04/2013,,SNE   ,SONY CORPORATION                                  ,09/04/2013
SODA  ,SODASTREAM INTERNATIONAL LTD.                     ,06/24/2013,,SODA  ,SODASTREAM INTERNATIONAL LTD.                     ,06/24/2013
SPLK  ,SPLUNK  INC.                                      ,07/02/2014,,SPLK  ,SPLUNK  INC.                                      ,07/02/2014
SPWR  ,SUNPOWER CORPORATION                              ,12/18/2013,,SPWR  ,SUNPOWER CORPORATION                              ,12/18/2013
SPY   ,SPY OPTION                                        ,06/18/2010,,SPY   ,SPY OPTION                                        ,06/18/2010
SPY7  ,SPY OPTION (10 SHARE)                             ,03/18/2013,,SPY7  ,SPY OPTION (10 SHARE)                             ,03/18/2013
SRPT  ,SAREPTA THERAPEUTICS  INC.                        ,07/15/2013,,SRPT  ,SAREPTA THERAPEUTICS  INC.                        ,07/15/2013
SSO   ,PROSHARES ULTRA S&P 500                           ,09/29/2011,,SSO   ,PROSHARES ULTRA S&P 500                           ,09/29/2011
SSYS  ,STRATASYS INC.                                    ,03/17/2014,,SSYS  ,STRATASYS INC.                                    ,03/17/2014
STX   ,SEAGATE TECH PLC (IRL)                            ,02/14/2012,,STX   ,SEAGATE TECH PLC (IRL)                            ,02/14/2012
SU    ,SUNCOR ENERGY                                     ,03/03/2011,,SU    ,SUNCOR ENERGY                                     ,03/03/2011
SUNE  ,SUNEDISON  INC.                                   ,02/24/2014,,SUNE  ,SUNEDISON  INC.                                   ,02/24/2014
SVXY  ,PROSHARES SHORT VIX SHORT-TERM FUTURES            ,12/11/2013,,SVXY  ,PROSHARES SHORT VIX SHORT-TERM FUTURES            ,12/11/2013
SWKS  ,SKYWORKS SOLUTIONS  INC                           ,03/10/2014,,SWKS  ,SKYWORKS SOLUTIONS  INC                           ,03/10/2014
SWY   ,SAFEWAY  INC.                                     ,03/25/2014,,SWY   ,SAFEWAY  INC.                                     ,03/25/2014
T     ,AT & T INC                                        ,01/25/2012,,T     ,AT & T INC                                        ,01/25/2012
TAP   ,MOLSON COORS BREWING CO.                          ,08/19/2013,,TAP   ,MOLSON COORS BREWING CO.                          ,08/19/2013
TBT   ,PROSHARES ULTRASHORT 20+ YEAR TREASURY            ,03/31/2011,,TBT   ,PROSHARES ULTRASHORT 20+ YEAR TREASURY            ,03/31/2011
TEVA  ,TEVA PHARM. IND. INC.                             ,06/04/2014,,TEVA  ,TEVA PHARM. IND. INC.                             ,06/04/2014
TGT   ,TARGET CORPORATION                                ,02/13/2013,,TGT   ,TARGET CORPORATION                                ,02/13/2013
TLT   ,ISHARES 20+ YEAR TREASURY BOND ETF                ,07/14/2011,,TLT   ,ISHARES 20+ YEAR TREASURY BOND ETF                ,07/14/2011
TMUS  ,T-MOBILE US  INC.                                 ,09/04/2013,,TMUS  ,T-MOBILE US  INC.                                 ,09/04/2013
TNA   ,DIREXION  DAILY SMALL CAP BULL 3X SHARES          ,01/18/2012,,TNA   ,DIREXION  DAILY SMALL CAP BULL 3X SHARES          ,01/18/2012
TOL   ,TOLL BROTHERS INC                                 ,09/25/2013,,TOL   ,TOLL BROTHERS INC                                 ,09/25/2013
TRIP  ,TRIPADVISOR INC.                                  ,02/12/2014,,TRIP  ,TRIPADVISOR INC.                                  ,02/12/2014
TSLA  ,TESLA MOTORS INC                                  ,04/29/2013,,TSLA  ,TESLA MOTORS INC                                  ,04/29/2013
TSO   ,TESORO  CORP                                      ,03/12/2013,,TSO   ,TESORO  CORP                                      ,03/12/2013
TTM   ,TATA MOTORS LTD.                                  ,04/22/2014,,TTM   ,TATA MOTORS LTD.                                  ,04/22/2014
TWTR  ,TWITTER  INC.                                     ,11/14/2013,,TWTR  ,TWITTER  INC.                                     ,11/14/2013
TWX   ,TIME WARNER INC                                   ,07/21/2014,,TWX   ,TIME WARNER INC                                   ,07/21/2014
TXN   ,TEXAS INSTRUMENTS                                 ,04/22/2013,,TXN   ,TEXAS INSTRUMENTS                                 ,04/22/2013
TZA   ,DIREXION DAILY SMALL CAP BEAR 3X SHARES           ,06/16/2011,,TZA   ,DIREXION DAILY SMALL CAP BEAR 3X SHARES           ,06/16/2011
UA    ,UNDER ARMOR  INC CLASS A                          ,05/07/2013,,UA    ,UNDER ARMOR  INC CLASS A                          ,05/07/2013
UAL   ,UNITED CONTINENTAL HOLDINGS  INC                  ,07/22/2014,,UAL   ,UNITED CONTINENTAL HOLDINGS  INC                  ,07/22/2014
UCO   ,PROSHARES ULTRA BLOOMBERG CRUDE OIL               ,12/11/2013,,UCO   ,PROSHARES ULTRA BLOOMBERG CRUDE OIL               ,12/11/2013
UNG   ,UNITED STATES NATURAL GAS FUND                    ,02/17/2011,,UNG   ,UNITED STATES NATURAL GAS FUND                    ,02/17/2011
UNH   ,UNITEDHEALTH GROUP INC.                           ,05/29/2012,,UNH   ,UNITEDHEALTH GROUP INC.                           ,05/29/2012
UNP   ,UNION PACIFIC                                     ,04/16/2012,,UNP   ,UNION PACIFIC                                     ,04/16/2012
UPS   ,UNITED PARCEL SERVICES                            ,02/13/2013,,UPS   ,UNITED PARCEL SERVICES                            ,02/13/2013
URI   ,UNITED RENTALS  INC.                              ,06/09/2014,,URI   ,UNITED RENTALS  INC.                              ,06/09/2014
USB   ,U.S. BANCORP                                      ,09/04/2013,,USB   ,U.S. BANCORP                                      ,09/04/2013
USO   ,UNITED STATES OIL FUND                            ,12/02/2010,,USO   ,UNITED STATES OIL FUND                            ,12/02/2010
UTX   ,UNITED TECHNOLOGIES                               ,10/06/2011,,UTX   ,UNITED TECHNOLOGIES                               ,10/06/2011
UUP   ,POWERSHARES DB US DOLLAR INDEX BULLISH FUND       ,12/04/2013,,UUP   ,POWERSHARES DB US DOLLAR INDEX BULLISH FUND       ,12/04/2013
UVXY  ,PROSHARES ULTRA VIX SHORT-TERM FUTURES            ,05/21/2013,,UVXY  ,PROSHARES ULTRA VIX SHORT-TERM FUTURES            ,05/21/2013
V     ,VISA INC.                                         ,03/03/2011,,V     ,VISA INC.                                         ,03/03/2011
VALE  ,VALE  S.A.                                        ,02/25/2013,,VALE  ,VALE  S.A.                                        ,02/25/2013
VHC   ,VIRNETX HOLDING CORPORATION                       ,01/25/2012,,VHC   ,VIRNETX HOLDING CORPORATION                       ,01/25/2012
VIPS  ,VIPSHOP HOLDINGS LIMITED                          ,06/25/2014,,VIPS  ,VIPSHOP HOLDINGS LIMITED                          ,06/25/2014
VLO   ,VALERO ENERGY CORP.                               ,03/19/2013,,VLO   ,VALERO ENERGY CORP.                               ,03/19/2013
VMW   ,VMWARE INC.                                       ,04/29/2013,,VMW   ,VMWARE INC.                                       ,04/29/2013
VOD   ,VODAFONE GROUP PLC                                ,04/29/2013,,VOD   ,VODAFONE GROUP PLC                                ,04/29/2013
VRTX  ,VERTEX PHARMCTLS  INC.                            ,08/14/2013,,VRTX  ,VERTEX PHARMCTLS  INC.                            ,08/14/2013
VRX   ,VALEANT PHARMACEUTICALS INTL.                     ,05/27/2014,,VRX   ,VALEANT PHARMACEUTICALS INTL.                     ,05/27/2014
VVUS  ,VIVUS                                             ,05/21/2013,,VVUS  ,VIVUS                                             ,05/21/2013
VWO   ,VANGUARD FTSE EMERGING MARKETS ETF                ,09/04/2013,,VWO   ,VANGUARD FTSE EMERGING MARKETS ETF                ,09/04/2013
VXX   ,IPATH S&P 500 VIX SHORT-TERM FUTURES ETN          ,08/26/2010,,VXX   ,IPATH S&P 500 VIX SHORT-TERM FUTURES ETN          ,08/26/2010
VZ    ,VERIZON COMM                                      ,01/30/2012,,VZ    ,VERIZON COMM                                      ,01/30/2012
WAG   ,WALGREEN CO                                       ,02/13/2013,,WAG   ,WALGREEN CO                                       ,02/13/2013
WDAY  ,WORKDAY  INC.                                     ,06/25/2014,,WDAY  ,WORKDAY  INC.                                     ,06/25/2014
WDC   ,WESTERN DIGITAL CORP                              ,03/17/2014,,WDC   ,WESTERN DIGITAL CORP                              ,03/17/2014
WFC   ,WELLS FARGO & CO                                  ,03/31/2011,,WFC   ,WELLS FARGO & CO                                  ,03/31/2011
WFM   ,WHOLE FOODS MARKET INC                            ,02/13/2013,,WFM   ,WHOLE FOODS MARKET INC                            ,02/13/2013
WFT   ,WEATHERFORD INTERNATIONAL PLC                     ,12/04/2013,,WFT   ,WEATHERFORD INTERNATIONAL PLC                     ,12/04/2013
WLP   ,WELLPOINT  INC.                                   ,04/09/2014,,WLP   ,WELLPOINT  INC.                                   ,04/09/2014
WLT   ,WALTER ENERGY  INC.                               ,09/29/2011,,WLT   ,WALTER ENERGY  INC.                               ,09/29/2011
WMB   ,WILLIAMS COMPANIES                                ,09/29/2011,,WMB   ,WILLIAMS COMPANIES                                ,09/29/2011
WMT   ,WAL-MART STORES  INC.                             ,10/06/2011,,WMT   ,WAL-MART STORES  INC.                             ,10/06/2011
WYNN  ,WYNN RESORTS  LIMITED                             ,09/29/2011,,WYNN  ,WYNN RESORTS  LIMITED                             ,09/29/2011
X     ,UNITED STATES STEEL                               ,03/03/2011,,X     ,UNITED STATES STEEL                               ,03/03/2011
XHB   ,SPDR S&P HOMEBUILDERS ETF                         ,09/04/2013,,XHB   ,SPDR S&P HOMEBUILDERS ETF                         ,09/04/2013
XLB   ,MATERIALS SELECT SECTOR SPDR                      ,02/13/2012,,XLB   ,MATERIALS SELECT SECTOR SPDR                      ,02/13/2012
XLE   ,ENERGY SECTOR SPDR                                ,02/17/2011,,XLE   ,ENERGY SECTOR SPDR                                ,02/17/2011
XLF   ,FINANCIAL SECTOR SPDR                             ,06/25/2010,,XLF   ,FINANCIAL SECTOR SPDR                             ,06/25/2010
XLI   ,INDUSTRIAL SECTOR SPDR                            ,09/04/2013,,XLI   ,INDUSTRIAL SECTOR SPDR                            ,09/04/2013
XLK   ,TECHNOLOGY SECTOR SPDR                            ,08/28/2013,,XLK   ,TECHNOLOGY SECTOR SPDR                            ,08/28/2013
XLP   ,CONSUMER STAPLES SPDR                             ,08/21/2013,,XLP   ,CONSUMER STAPLES SPDR                             ,08/21/2013
XLU   ,UTILITIES SECTOR SPDR                             ,08/21/2013,,XLU   ,UTILITIES SECTOR SPDR                             ,08/21/2013
XLV   ,HEALTH CARE SELECT SECTOR SPDR                    ,09/04/2013,,XLV   ,HEALTH CARE SELECT SECTOR SPDR                    ,09/04/2013
XLY   ,CONSUMER DISCRETIONARY SELECT SECTOR SPDR         ,09/04/2013,,XLY   ,CONSUMER DISCRETIONARY SELECT SECTOR SPDR         ,09/04/2013
XME   ,SPDR S&P METALS & MINING ETF                      ,07/30/2012,,XME   ,SPDR S&P METALS & MINING ETF                      ,07/30/2012
XOM   ,EXXON MOBIL CORP                                  ,02/17/2011,,XOM   ,EXXON MOBIL CORP                                  ,02/17/2011
XOP   ,SPDR S&P OIL & GAS EXPLORATION & PRODUCTION ETF   ,05/21/2013,,XOP   ,SPDR S&P OIL & GAS EXPLORATION & PRODUCTION ETF   ,05/21/2013
XRT   ,SPDR S&P RETAIL ETF                               ,09/04/2013,,XRT   ,SPDR S&P RETAIL ETF                               ,09/04/2013
YELP  ,YELP INC                                          ,09/04/2013,,YELP  ,YELP INC                                          ,09/04/2013
YHOO  ,YAHOO INC                                         ,02/17/2011,,YHOO  ,YAHOO INC                                         ,02/17/2011
YNDX  ,YANDEX NV                                         ,12/11/2013,,YNDX  ,YANDEX NV                                         ,12/11/2013
YOKU  ,YOUKU TUDOU INC.                                  ,07/02/2014,,YOKU  ,YOUKU TUDOU INC.                                  ,07/02/2014
YUK   ,ISE FX YEN                                        ,12/31/2013,,YUK   ,ISE FX YEN                                        ,12/31/2013
YUM   ,YUM BRANDS  INC.                                  ,02/13/2013,,YUM   ,YUM BRANDS  INC.                                  ,02/13/2013
YY    ,YY INC                                            ,06/25/2014,,YY    ,YY INC                                            ,06/25/2014
Z     ,ZILLOW  INC.                                      ,09/04/2013,,Z     ,ZILLOW  INC.                                      ,09/04/2013
ZNGA  ,ZYNGA INC.                                        ,04/24/2012,,ZNGA  ,ZYNGA INC.                                        ,04/24/2012
ZTS   ,ZOETIS INC.                                       ,08/21/2013,,ZTS   ,ZOETIS INC.                                       ,08/21/2013
ZU    ,ZULILY  INC.                                      ,07/14/2014,,ZU    ,ZULILY  INC.                                      ,07/14/2014
