Active Weekly Options Summary as of 08/20/2014, , , , , 

      ,Weekly Options Summary for 08/29/2014 Expiration,          ,,      ,Weekly Options Summary for 08/22/2014 Expiration,          
SYMBOL,OPTION NAME,EFFECTIVE DATE,,SYMBOL,OPTION NAME,EFFECTIVE DATE
BIIB  ,BIOGEN IDEC INC.                                  ,07/15/2013,,BIIB  ,BIOGEN IDEC INC.                                  ,07/15/2013
BK    ,THE BANK OF NEW YORK MELLON CORPORATION           ,02/13/2013,,BK    ,THE BANK OF NEW YORK MELLON CORPORATION           ,02/13/2013
BMY   ,BRISTOL-MYERS SQUIBB COMPANY                      ,01/30/2012,,BMY   ,BRISTOL-MYERS SQUIBB COMPANY                      ,01/30/2012
BP    ,BP PLC                                            ,06/25/2010,,BP    ,BP PLC                                            ,06/25/2010
BRCM  ,BROADCOM CORP.                                    ,05/21/2013,,BRCM  ,BROADCOM CORP.                                    ,05/21/2013
BTU   ,PEABODY ENERGY CORPORATION                        ,09/04/2013,,BTU   ,PEABODY ENERGY CORPORATION                        ,09/04/2013
BX    ,THE BLACKSTONE GROUP LP                           ,07/08/2013,,BX    ,THE BLACKSTONE GROUP LP                           ,07/08/2013
C     ,CITIGROUP INC                                     ,06/25/2010,,C     ,CITIGROUP INC                                     ,06/25/2010
CAT   ,CATERPILLAR INC                                   ,02/17/2011,,CAT   ,CATERPILLAR INC                                   ,02/17/2011
CBS   ,CBS CORPORATION CL B                              ,01/07/2014,,CBS   ,CBS CORPORATION CL B                              ,01/07/2014
CBSO  ,CBS OUTDOOR AMERICAS INC.                         ,06/25/2014,,CBSO  ,CBS OUTDOOR AMERICAS INC.                         ,06/25/2014
CCJ   ,CAMECO CORPORATION                                ,06/09/2014,,CCJ   ,CAMECO CORPORATION                                ,06/09/2014
CDD   ,ISE FX CANADIAN DOLLAR                            ,12/31/2013,,CDD   ,ISE FX CANADIAN DOLLAR                            ,12/31/2013
CELG  ,CELGENE CORP.                                     ,04/29/2013,,CELG  ,CELGENE CORP.                                     ,04/29/2013
CF    ,CF INDUSTRIES HOLDINGS INC                        ,12/13/2011,,CF    ,CF INDUSTRIES HOLDINGS INC                        ,12/13/2011
CHK   ,CHESAPEAKE ENERGY CORP.                           ,01/30/2012,,CHK   ,CHESAPEAKE ENERGY CORP.                           ,01/30/2012
CL    ,COLGATE PALMOLIVE                                 ,04/16/2013,,CL    ,COLGATE PALMOLIVE                                 ,04/16/2013
CLF   ,CLIFFS NATURAL RESOURCES INC                      ,10/06/2011,,CLF   ,CLIFFS NATURAL RESOURCES INC                      ,10/06/2011
CMCSA ,COMCAST CORPORATION CLASS                         ,01/07/2014,,CMCSA ,COMCAST CORPORATION CLASS                         ,01/07/2014
CME   ,CME GROUP INC                                     ,12/11/2013,,CME   ,CME GROUP INC                                     ,12/11/2013
CMG   ,CHIPOTLE MEXICAN GRILL INC                        ,01/25/2012,,CMG   ,CHIPOTLE MEXICAN GRILL INC                        ,01/25/2012
CMI   ,CUMMINS INC.                                      ,09/04/2013,,CMI   ,CUMMINS INC.                                      ,09/04/2013
COF   ,CAPITAL ONE FINANCIAL                             ,02/25/2013,,COF   ,CAPITAL ONE FINANCIAL                             ,02/25/2013
